"","n.sites","n.biallelic.sites","n.gaps","n.unknowns","n.valid.sites","n.polyallelic.sites","trans.transv.ratio","nuc.diversity.within_Total","hap.diversity.within_Total","Tajima.D_Total","nuc.diversity.within_Landrace","nuc.diversity.within_Wild","hap.diversity.within_Landrace","hap.diversity.within_Wild","Tajima.D_Cultivar","Tajima.D_Landrace","Tajima.D_Wild","HOG","nuc.diversity.within_Cultivar","hap.diversity.within_Cultivar"
"26",702,4,219,0,483,0,0.333333333333333,2.66666666666667,1,NA,3,NA,1,NA,NA,NA,NA,"N0.HOG0000033",NA,NA
"27",1252,29,877,0,375,0,1.63636363636364,10.7272727272727,0.909090909090909,0.525779363709278,10.0952380952381,NA,0.952380952380952,NA,1.6323246591766,0.172925782502247,NA,"N0.HOG0000034",15.1666666666667,0.833333333333333
"28",5691,35,1092,0,4599,0,1.33333333333333,23.3333333333333,1,NA,29,NA,1,NA,NA,NA,NA,"N0.HOG0000036",NA,NA
"29",5477,88,4631,0,846,0,1.25641025641026,33.9387755102041,0.829387755102041,2.57540663588038,28.4505928853755,42.5357142857143,0.841897233201581,0.928571428571429,1.6686124549568,1.17887562161752,1.78507580074356,"N0.HOG0000037",33.3529411764706,0.686274509803922
"30",5667,316,1680,0,3980,7,1.528,81.6920289855072,0.855072463768116,-0.139555787852874,68.3333333333333,124.866666666667,0.777777777777778,1,0.312578386639375,1.32135166867603,-0.443816002802781,"N0.HOG0000038",51.8888888888889,0.555555555555556
"31",6603,40,3167,0,3436,0,2.33333333333333,5.48666666666667,0.71,-1.83543607814073,8.43589743589744,NA,0.782051282051282,NA,-1.93406147829645,-1.45937853331355,NA,"N0.HOG0000039",1.45454545454545,0.490909090909091
"32",6332,55,5378,0,954,0,1.5,8.89126559714795,0.757575757575758,-1.24374031120695,0.494505494505495,14.2857142857143,0.494505494505495,0.714285714285714,-0.233992406773893,1.21218556263808,-1.73441591141972,"N0.HOG0000040",17.2,0.854545454545454
"33",4480,62,1046,0,3434,0,2.1,31.1666666666667,1,-0.817684332511313,NA,1,NA,1,NA,NA,NA,"N0.HOG0000041",NA,NA
"34",6508,81,5064,0,1443,1,1.38235294117647,5.13636363636364,0.605708245243129,-2.59943809982345,1.26406926406926,18.8333333333333,0.558441558441558,0.888888888888889,-1.45138322863843,-0.71896764448932,-1.85363395613231,"N0.HOG0000042",0.333333333333333,0.166666666666667
"35",5581,5,4393,0,1188,0,1.5,0.605820105820106,0.425925925925926,-1.46803007104633,0.435897435897436,1.33333333333333,0.41025641025641,0.6,-1.0062305898749,-0.909202208838987,-1.29503085280462,"N0.HOG0000043",0.285714285714286,0.285714285714286
"36",4126,33,945,0,3181,0,1.35714285714286,22,1,NA,NA,7,NA,1,NA,NA,NA,"N0.HOG0000044",NA,NA
"37",4296,22,4180,0,113,3,1.75,5.2218487394958,0.666386554621849,0.569084919807339,4.79637096774194,6.78362573099415,0.598790322580645,0.824561403508772,0.539284940542184,1.96258118812377,0.301376254521552,"N0.HOG0000048",4.64516129032258,0.578494623655914
"38",3238,61,2177,0,1061,0,2.21052631578947,7.43700396825397,0.888888888888889,-1.43207068284587,6.96059113300493,9.11111111111111,0.834975369458128,1,-0.852053096572946,-0.0858357506961444,-1.80421595280501,"N0.HOG0000049",6.52173913043478,0.8300395256917
"39",2901,15,0,0,2901,0,2.75,3.06,0.66,-0.804277853797695,0.362637362637363,10,0.362637362637363,1,0.382857652228253,0.324400473556049,NA,"N0.HOG0000050",5.39285714285714,0.892857142857143
"40",2937,535,1114,0,1747,76,1.66169154228856,217.166666666667,1,0.538596783896892,NA,260.266666666667,NA,1,NA,NA,0.944141123938512,"N0.HOG0000051",NA,NA
"41",2976,278,1701,0,1269,6,1.224,18.7551560021153,0.872025383395029,-2.41676939858239,12.423645320197,14.7857142857143,0.820197044334975,1,-2.40424300933408,1.30799771498532,-0.0908514566213864,"N0.HOG0000052",27.5652173913043,0.814229249011858
"42",3430,111,1131,0,2299,0,1.92105263157895,21.0356516656926,0.776154295733489,-0.417582271302616,16.102766798419,32.8787878787879,0.632411067193676,0.954545454545455,-1.34598313867431,-1.5217470995334,-0.123884186049501,"N0.HOG0000053",15.6883116883117,0.744588744588745
"43",2925,13,597,0,2328,0,0.857142857142857,2.43939393939394,0.318181818181818,-1.83551568751747,0,11,0,1,NA,NA,NA,"N0.HOG0000054",0,0
"44",2916,5,0,0,2916,0,Inf,5,1,NA,5,NA,1,NA,NA,NA,NA,"N0.HOG0000056",NA,NA
"45",2866,3,2355,0,511,0,0.5,0.273936170212766,0.264184397163121,-1.24057390534949,0.242753623188406,0.222222222222222,0.235507246376812,0.222222222222222,0.425595348542734,-1.20228920246627,-1.08822734260014,"N0.HOG0000057",0.384615384615385,0.384615384615385
"46",6777,799,4870,0,1604,303,1.54458598726115,300.073015873016,0.968253968253968,2.122244526827,244.441176470588,252.166666666667,0.948529411764706,1,-1.52790002458285,1.0018059123689,0.258613380267646,"N0.HOG0000058",149.133333333333,0.733333333333333
"47",4371,87,1731,0,2640,0,1.175,17.4,0.2,-2.14688917514971,0,87,0,1,NA,NA,NA,"N0.HOG0000059",0,0
"48",4969,44,4036,0,933,0,1.0952380952381,12.5714285714286,0.714285714285714,-1.72967847440099,0,29.3333333333333,0,1,NA,NA,NA,"N0.HOG0000060",NA,NA
"49",3468,108,2253,0,1215,0,1.4,14.6857142857143,0.704761904761905,-2.44820194094976,1.05454545454545,104,0.672727272727273,1,NA,-0.834181152747457,NA,"N0.HOG0000061",0,0
"50",2826,230,1992,0,834,0,1.16981132075472,10.4618357487923,0.518840579710145,-2.92384750913589,0.403162055335968,0.5,0.403162055335968,0.5,-2.62862483151611,0.834316376257905,-0.612372435695797,"N0.HOG0000063",24.6315789473684,0.573099415204678
"51",3162,30,1404,0,1756,2,2.33333333333333,7.70840895341803,0.807017543859649,0.617124473220857,7.67989417989418,9.80952380952381,0.761904761904762,1,0.184692093885371,1.27797013030407,0.00786026284101146,"N0.HOG0000064",6.61904761904762,0.748917748917749
"52",2745,22,894,0,1851,0,2.66666666666667,6.12943262411348,0.730496453900709,0.767445719113583,5.60474308300395,6.57142857142857,0.644268774703557,1,0.89656482800304,1.35260231551615,-1.09482403721823,"N0.HOG0000065",5.3921568627451,0.594771241830065
"53",879,119,129,0,750,0,1.2037037037037,18.6153846153846,0.564102564102564,-2.34893687299596,0.6,78.6666666666667,0.6,0.666666666666667,-0.612372435695797,1.22474487139159,NA,"N0.HOG0000067",0.5,0.5
"54",1899,10,821,0,1078,0,1.5,1.66666666666667,0.166666666666667,-2.04339571876641,0,10,0,1,NA,NA,NA,"N0.HOG0000068",0,0
"55",2697,3,144,0,2553,0,0.5,0.5,0.318181818181818,-1.62928660889376,0.8,1,0.4,1,NA,-0.972557939594832,NA,"N0.HOG0000069",0,0
"56",2773,535,323,0,2416,34,1.5,128.692810457516,0.764705882352941,-0.737154194521126,0.4,231.035714285714,0.4,1,NA,-0.816496580927725,0.669206744963361,"N0.HOG0000070",0,0
"57",3467,25,3186,0,281,0,2.125,7.83808231569426,0.820443238353686,1.55843556341232,8.91133004926108,4.48717948717949,0.817733990147783,0.871794871794872,1.45231376507217,1.85470614511453,-1.13827985834055,"N0.HOG0000071",7.55731225296443,0.691699604743083
"58",3562,3,3493,0,69,0,0.5,0.1,0.0333333333333333,-1.67582852270117,0,0.666666666666667,0,0.222222222222222,NA,NA,-1.51296604802559,"N0.HOG0000073",0,0
"59",1341,34,1020,0,319,2,1.42857142857143,11.7777777777778,0.833333333333333,-0.294909064670365,0,17.2,0,1,NA,NA,0.404252877420123,"N0.HOG0000077",NA,NA
"60",2871,24,1023,0,1848,0,2,7.11111111111111,0.511111111111111,-0.768567926502311,0,NA,0,NA,NA,NA,NA,"N0.HOG0000078",8,0.666666666666667
"61",3261,46,1008,0,2253,0,2.06666666666667,5.10570824524313,0.750528541226216,-1.80836370504087,2.30833333333333,13.8888888888889,0.733333333333333,0.972222222222222,1.20379916687202,0.332011318338269,-0.721958275649712,"N0.HOG0000079",2.00653594771242,0.450980392156863
"62",2829,28,1142,0,1687,0,1.8,3.04233870967742,0.544354838709677,-1.99807915824041,1.78181818181818,10.1666666666667,0.472727272727273,1,-1.68098339474418,-0.515378581482294,-0.69767549557002,"N0.HOG0000080",2.025,0.441666666666667
"63",2817,18,1332,0,1485,0,0.8,1.74384236453202,0.527093596059113,-2.14825773089299,2.53846153846154,3,0.602564102564103,1,-1.79759454343273,-1.8146351677687,NA,"N0.HOG0000082",0.571428571428571,0.274725274725275
"64",3078,13,1536,0,1542,0,0.857142857142857,2.96774193548387,0.808602150537634,-0.288602756648843,2.98529411764706,2.5,0.794117647058823,0.833333333333333,1.38177768811642,0.0338600252024137,-0.796843873894098,"N0.HOG0000083",3,0.785714285714286
"65",2997,32,1351,0,1646,0,1.90909090909091,6.78709677419355,0.744086021505376,-0.551078882959115,6.38095238095238,12,0.733333333333333,0.7,-1.51869324996776,0.890738852373349,-0.286561057496495,"N0.HOG0000084",3,0.666666666666667
"66",5415,106,4987,0,427,1,1.16326530612245,5,0.68577648766328,-2.77849076701654,10.5142857142857,2.26666666666667,0.595238095238095,0.866666666666667,-1.0725307142768,-2.51345330808291,-0.856225817913598,"N0.HOG0000085",0.895238095238095,0.638095238095238
"67",3216,179,1811,0,1394,11,1.63235294117647,26.2984615384615,0.710769230769231,-1.73727140695203,8.54545454545454,49.6428571428571,0.318181818181818,1,-1.26041484436135,-2.11931978188781,-0.646601246033969,"N0.HOG0000086",23.6,0.4
"68",2799,25,216,0,2583,0,2.57142857142857,25,1,NA,NA,NA,NA,NA,NA,NA,NA,"N0.HOG0000087",NA,NA
"69",2856,69,126,0,2722,8,1.3,7.78347578347578,0.706552706552707,-2.17352242828567,2.57575757575758,27.1666666666667,0.621212121212121,0.833333333333333,-1.89816576590323,1.13043552099842,-0.627695638163585,"N0.HOG0000088",5.53333333333333,0.6
"70",4602,45,3245,0,1356,1,4,9.96396396396396,0.867867867867868,-0.271136956171675,8.10989010989011,6.66666666666667,0.736263736263736,0.857142857142857,1.10439896363332,1.21027402442042,0.115605877042956,"N0.HOG0000089",12.2527472527473,0.857142857142857
"71",3709,1,3702,0,6,1,Inf,0.263768115942029,0.263768115942029,0.218723631264511,0.180952380952381,0.666666666666667,0.180952380952381,0.666666666666667,-0.174717302142414,-0.617716548556349,NA,"N0.HOG0000090",0.246753246753247,0.246753246753247
"72",1717,11,871,0,846,0,2.66666666666667,1.77838082315694,0.749434644957033,-0.632205604809157,1.53694581280788,2.38461538461538,0.684729064039409,0.82051282051282,1.61606783354051,1.31886566680152,-1.03870372808067,"N0.HOG0000091",1.32806324110672,0.640316205533597
"73",5002,158,4477,0,514,11,1.35820895522388,27.0933333333333,0.866666666666667,-1.40065510776864,4.62222222222222,60.1111111111111,0.622222222222222,0.944444444444444,0.894499041198129,1.9831537019249,0.280186590144156,"N0.HOG0000092",5.4,0.9
"74",1779,22,294,0,1485,0,2.14285714285714,14.6666666666667,1,NA,22,NA,1,NA,NA,NA,NA,"N0.HOG0000093",NA,NA
"75",3609,40,1566,0,2042,1,1.10526315789474,11.0606060606061,0.891774891774892,0.0312261183709582,14.2444444444444,3.80952380952381,0.777777777777778,1,NA,1.64813439465414,-1.20999628980041,"N0.HOG0000095",6,0.833333333333333
"76",3820,44,2589,0,1231,0,2.66666666666667,4.36190476190476,0.428571428571429,-2.54827923251751,0.222222222222222,12.6666666666667,0.222222222222222,0.857142857142857,NA,-1.08822734260014,-1.60368625530363,"N0.HOG0000096",0,0
"77",4215,791,726,0,3487,2,1.12064343163539,395.666666666667,0.833333333333333,-0.871757397738425,NA,NA,NA,NA,NA,NA,NA,"N0.HOG0000097",2,0.666666666666667
"78",3673,217,2546,0,1126,1,1.38461538461538,82.3012181616833,0.664451827242525,2.3607081135541,101.955882352941,101.52380952381,0.720588235294118,0.857142857142857,-1.19215629320717,2.72313943981104,0.953156192855694,"N0.HOG0000098",44.1176470588235,0.470588235294118
"79",4686,117,516,0,4170,0,1.16666666666667,117,1,NA,NA,117,NA,1,NA,NA,NA,"N0.HOG0000099",NA,NA
"80",4365,469,1212,0,3150,3,1.40512820512821,74.0222222222222,0.882539682539683,-1.31229835771346,4.79120879120879,133.142857142857,0.846153846153846,0.904761904761905,-0.560695618745777,-0.195726746152287,-1.72167649808504,"N0.HOG0000100",127.384615384615,0.717948717948718
"81",5244,181,3545,0,1693,6,1.35064935064935,26.9967213114754,0.856284153005464,-1.06334780586969,20.9333333333333,39.6363636363636,0.846666666666667,0.924242424242424,-1.54931643015672,2.23624543805361,-1.32872049258835,"N0.HOG0000101",27.7075098814229,0.754940711462451
"82",5105,93,3944,0,1156,5,1.21428571428571,31.3238095238095,0.89047619047619,0.860222682834827,22,42,0.80952380952381,1,1.00420509853702,-1.0651269517738,NA,"N0.HOG0000102",36.0555555555556,0.944444444444444
"83",5471,95,5170,0,294,7,1.15909090909091,12.3463203463203,0.796536796536797,-2.11947526659397,3.72222222222222,28.0952380952381,0.555555555555556,0.952380952380952,1.35004733748963,1.20078358940279,-1.51650046260173,"N0.HOG0000103",7.4,0.9
"84",9692,79,6873,0,2819,0,1.13513513513514,10.3644773358002,0.851988899167438,-1.49502564720272,8.57707509881423,11.3333333333333,0.845849802371542,0.904761904761905,-0.623002180612005,-1.824815908172,-0.595706117129791,"N0.HOG0000104",11.3,0.616666666666667
"85",3360,1,3296,0,64,0,0,0.362987012987013,0.362987012987013,0.871212355969066,0.431159420289855,0.282051282051282,0.431159420289855,0.282051282051282,0.565506547180714,1.02681755282928,-0.274290186420241,"N0.HOG0000105",0.382352941176471,0.382352941176471
"86",3768,66,3369,0,390,9,1.64,9.70384615384615,0.865865384615385,-1.02497775015118,7.79333333333333,14.1648351648352,0.813333333333333,0.956043956043956,0.281933883032327,0.487723887632374,-0.923587503603018,"N0.HOG0000107",5.83399209486166,0.58102766798419
"87",2919,18,1770,0,1149,0,2,3.91020408163265,0.773877551020408,-0.0848562211959382,4.48051948051948,4.26666666666667,0.796536796536797,0.933333333333333,-0.753188820000534,0.595874323451171,0.491191300230161,"N0.HOG0000108",2.44210526315789,0.510526315789474
"88",844,51,313,0,531,0,2.1875,21.5151515151515,0.818181818181818,1.25817865283446,12.8,25.5,0.4,1,NA,-1.24792410446597,0.169548194367312,"N0.HOG0000110",24.6666666666667,1
"89",6125,250,4262,0,1857,6,1.35849056603774,69.5677215189873,0.869620253164557,1.30107142178011,61.9714795008913,111.026315789474,0.787878787878788,0.984210526315789,0.053982039820995,0.246137428010447,2.5285428526079,"N0.HOG0000111",0.8300395256917,0.675889328063241
"90",3012,25,1309,0,1703,0,2.125,9.49621212121212,0.736742424242424,1.89509944909496,10.4242424242424,8.28571428571428,0.621212121212121,0.892857142857143,0.540554688775512,2.19940083776192,0.120214715914724,"N0.HOG0000112",0.409090909090909,0.409090909090909
"91",2998,88,2683,0,313,2,0.833333333333333,26.3474747474747,0.517171717171717,1.10973798173035,33.5238095238095,4.73333333333333,0.419047619047619,0.6,0.797040786036554,1.5818452817663,1.5027878016549,"N0.HOG0000115",26.9473684210526,0.336842105263158
"92",3519,214,1339,0,2167,13,1.48837209302326,54.1006993006993,0.922144522144522,0.711285663060918,50.8029556650246,52.7179487179487,0.881773399014778,0.987179487179487,2.95190580101263,1.11308767316385,-0.854416673509116,"N0.HOG0000116",43.7489177489177,0.865800865800866
"93",3097,18,182,0,2915,0,3.5,3.68379446640316,0.909090909090909,-0.890960452516905,4.22727272727273,5.2,0.848484848484849,1,-1.13197224468829,-0.076295007921017,-0.109050306458889,"N0.HOG0000119",0.666666666666667,0.6
"94",3466,117,2219,0,1244,3,1.20754716981132,18.4356060606061,0.721590909090909,-1.36233425467785,32.3676470588235,3.33333333333333,0.779411764705882,1,-0.12687720816627,-0.241717440463048,NA,"N0.HOG0000120",0.615384615384615,0.564102564102564
"95",3121,81,305,0,2815,1,1.38235294117647,9.68660968660969,0.88034188034188,-2.08360532304982,3.92380952380952,22,0.733333333333333,1,-1.6126617721433,0.246254759718171,NA,"N0.HOG0000122",17.3214285714286,0.964285714285714
"96",3560,182,1784,0,1768,8,1.16666666666667,19.7142857142857,0.524630541871921,-2.23262112382768,41.1969696969697,4.5,0.454545454545455,0.833333333333333,-2.1823947386113,-1.37571340976301,-0.82942729656539,"N0.HOG0000123",3.66666666666667,0.525641025641026
"97",3003,24,414,0,2589,0,2.42857142857143,2.43557692307692,0.694230769230769,-1.62576601083449,2.28571428571429,4.03636363636364,0.692118226600985,0.945454545454545,-1.3034437971201,0.841061640064964,-1.70557112696453,"N0.HOG0000124",1.11462450592885,0.320158102766798
"98",3072,133,1555,0,1517,0,1.66,8.52048726467331,0.895902547065338,-2.6392434183399,3.36842105263158,23.8181818181818,0.818713450292398,0.963636363636364,0.716572061093865,0.25269420186514,-2.14546500424027,"N0.HOG0000125",2.74242424242424,0.787878787878788
"99",3767,536,997,0,2760,10,1.55238095238095,357.333333333333,1,NA,NA,357.333333333333,NA,1,NA,NA,NA,"N0.HOG0000126",NA,NA
"100",3320,63,1591,0,1729,0,1.73913043478261,15.1628787878788,0.916666666666667,-0.0860161380516742,16.5824175824176,22.0666666666667,0.912087912087912,1,0.936596668702038,-0.103053218997889,0.0494067938309738,"N0.HOG0000127",9.05454545454545,0.836363636363636
"101",3015,85,1908,0,1106,1,1.74193548387097,25.1856060606061,0.731060606060606,0.758944828005366,33.3333333333333,5.33333333333333,0.830065359477124,1,1.15058597961813,1.46005590768634,NA,"N0.HOG0000128",3.49090909090909,0.436363636363636
"102",2865,48,1377,0,1488,0,3.8,10.167365967366,0.744988344988345,0.0269470653421441,9.89162561576355,12.6923076923077,0.657635467980296,1,1.65798394481063,1.77607865193666,-0.556717437776616,"N0.HOG0000129",5.95256916996047,0.521739130434783
"103",2868,47,981,0,1887,0,5.71428571428571,8.45098039215686,0.666666666666667,-0.963932371983433,2,15.2222222222222,0.4,1,0.577453860093929,1.07859360744712,-0.511835743131283,"N0.HOG0000130",8.14285714285714,0.428571428571429
"104",2742,61,921,0,1821,0,3.06666666666667,4.71301247771836,0.372549019607843,-2.52126618605929,0.307692307692308,28.3333333333333,0.294871794871795,1,-0.820389779461694,-1.46800578074807,-0.578775751064317,"N0.HOG0000131",1.10294117647059,0.220588235294118
"105",1389,51,960,0,428,1,1.68421052631579,3.50067476383266,0.663967611336032,-2.54052487825745,1.83006535947712,1.06060606060606,0.522875816993464,0.772727272727273,-1.23715998020899,-0.74088457536017,0.221858386582522,"N0.HOG0000132",0.571428571428571,0.523809523809524
"106",3459,180,1356,0,2102,1,1.46575342465753,90.5,1,-0.820454314959195,NA,10,NA,1,NA,NA,NA,"N0.HOG0000134",NA,NA
"107",3398,275,1689,0,1678,31,1.92553191489362,78.8192633264699,0.858613589567605,1.58032138666195,77.1893687707641,103.666666666667,0.83499446290144,0.96969696969697,2.56515448148839,3.06728567502773,0.853778112255088,"N0.HOG0000135",73.4354354354354,0.828828828828829
"108",3849,24,3630,0,218,1,1.18181818181818,1.30225988700565,0.271186440677966,-2.36811577173269,0.467980295566502,6.95238095238095,0.197044334975369,0.714285714285714,-0.317943149159843,-1.40069338852531,-1.4656040622437,"N0.HOG0000136",0.711462450592885,0.237154150197628
"109",4092,190,2235,0,1848,9,1.2093023255814,30.9028571428571,0.87265306122449,-0.979174723298194,8.17391304347826,67.8666666666667,0.885375494071146,0.977777777777778,-0.00397267252439346,-0.328395158983095,0.886034798597505,"N0.HOG0000137",31.0294117647059,0.757352941176471
"110",3057,10,1404,0,1653,0,2.33333333333333,0.766386554621849,0.39327731092437,-2.09699894513609,0.477124183006536,5.33333333333333,0.450980392156863,1,-1.15524134158067,-0.43794032559677,NA,"N0.HOG0000139",0.142857142857143,0.142857142857143
"111",3783,104,2967,0,810,6,1.31111111111111,12.3462301587302,0.891369047619048,-1.51581051599267,11.5665024630542,21.5641025641026,0.862068965517241,0.987179487179487,-0.631562309900167,-0.343147269044984,-1.3446461178733,"N0.HOG0000140",3.02631578947368,0.757894736842105
"112",3150,44,438,0,2712,0,1.75,44,1,NA,44,NA,1,NA,NA,NA,NA,"N0.HOG0000143",NA,NA
"113",3147,51,426,0,2721,0,2,5.78142076502732,0.571584699453552,-1.58105535687264,5.48,11.6727272727273,0.576666666666667,0.890909090909091,-1.7923372254916,0.771756254151709,-1.49336094296081,"N0.HOG0000144",2.17391304347826,0.245059288537549
"114",2916,283,1487,0,1427,2,1.83,167.8,0.9,1.796310013642,1,NA,1,NA,NA,NA,NA,"N0.HOG0000145",NA,NA
"115",2946,14,1116,0,1830,0,1.8,2.97895902547065,0.694352159468439,-0.247134368507699,2.81904761904762,4.46428571428571,0.619047619047619,0.892857142857143,-1.60824624153962,0.536871393762551,-0.178090130305522,"N0.HOG0000146",1.17894736842105,0.536842105263158
"116",2869,77,954,0,1914,1,1.40625,23.2597968069666,0.579100145137881,1.29678641971334,32.6536796536797,19.2777777777778,0.619047619047619,0.944444444444444,-1.52759125256786,2.43505750364819,-1.64358668883504,"N0.HOG0000147",12.5497835497835,0.255411255411255
"117",3769,37,2992,0,777,0,3.11111111111111,7.8310291858679,0.830517153097798,-0.00861065056749042,5.41230769230769,9.05128205128205,0.790769230769231,0.91025641025641,0.709083033436213,-0.059502468850566,0.955474157659588,"N0.HOG0000148",8.37154150197629,0.743083003952569
"118",3860,13,3475,0,385,0,1.16666666666667,4.98376623376623,0.730519480519481,2.23884071479543,4.42063492063492,5.6,0.764550264550265,0.709090909090909,-0.662940070673227,1.08339336624477,1.14546843201599,"N0.HOG0000149",2.73333333333333,0.433333333333333
"119",1833,144,1124,0,709,0,1.21538461538462,60.0967741935484,0.417338709677419,2.59533560894733,63.2967032967033,48,0.43956043956044,0.333333333333333,NA,1.78448310172147,-1.54815354750404,"N0.HOG0000150",0,0
"120",4638,171,4037,0,561,40,1.94827586206897,36.4271290605795,0.813432835820896,0.0703722560345787,27.7931034482759,58.5164835164835,0.746305418719212,0.978021978021978,-0.942695376900934,0.229475722287498,0.454388919591008,"N0.HOG0000151",28.2134387351779,0.620553359683794
"121",2873,486,1385,0,1386,102,1.77714285714286,132.916256157635,0.916256157635468,0.29024935365822,84.3888888888889,167.833333333333,0.75,0.972222222222222,-0.257120167065093,-0.332172381086725,0.672919819075226,"N0.HOG0000153",138.166666666667,0.916666666666667
"122",4512,35,2800,0,1710,2,1.05882352941176,6.2269387755102,0.671020408163265,-0.68444948031374,5.48,4.5,0.65,0.833333333333333,-0.714026706987363,1.03484423177452,-0.82942729656539,"N0.HOG0000154",6.34285714285714,0.542857142857143
